Ville_Recherche,Titre,Prix,Surface_m2,Pieces,Type,Ville_Reelle,CP,Adresse_Texte
Paris,"CHAMPS DE MARS  -  Dans un immeuble de prestige, maison de 3 pièces",790000,54.7,3,Maison,Paris 7e Arrondissement,75007,"Paris 7e Arrondissement, 75007, France"
Paris,"Cet appartement lumineux se situe dans un bel immeuble au 3ème étage par ascenseur, rue Boinod face au Square Henri Sauvage.
Très bonne configuration (cf plan)
Une entrée, salon, salle à manger,...",480000,65.17,2,Appartement,Paris 18e Arrondissement,75018,"Paris 18e Arrondissement, 75018, France"
Paris,PARIS 17 / MONCEAU - PÉREIRE  - [VENTE NUE-PROPRIÉTÉ] APPARTEMENT BOURGEOIS 6 PIÈCES + CAVE,1937023,190.77,6,Appartement,Paris 17e Arrondissement,75017,"Paris 17e Arrondissement, 75017, France"
Paris,Notaire - Duplex avec Jardin - Cité des Fleurs PARIS XVIIème - Exclusivité,2250000,203.03,7,Appartement,Paris 17e Arrondissement,75017,"Paris 17e Arrondissement, 75017, France"
Paris,Notaire - F4 avec vue dégagée - Rue Berryer - Exclusivité,930000,72.12,4,Appartement,Paris 8e Arrondissement,75008,"Paris 8e Arrondissement, 75008, France"
Paris,"Paris 7e - Rue Masseran - 3 pièces de 89,06 m² avec deux balcons et cave",1087379,89.06,3,Appartement,Paris 7e Arrondissement,75007,"Paris 7e Arrondissement, 75007, France"
Paris,PARIS XVII- Quartier Ternes - Appartement 3 - 83 m² ,734400,82.15,3,Appartement,Paris 17e Arrondissement,75017,"Paris 17e Arrondissement, 75017, France"
Paris,"Appartement deux pièces, secteur Lamarck - Paris 18ème",285000,30.81,2,Appartement,Paris 18e Arrondissement,75018,"Paris 18e Arrondissement, 75018, France"
Paris,"Paris 16 - Rue Van Loo, à proximité immédiate de la seine et de l'Avenue de Versailles, du Métro Chardon Lagache (L10) et RER Pont du Garigliano (C).
Ce studio se compose d'une entrée, une pièce...",247620,26.41,1,Appartement,Paris 16e Arrondissement,75116,"Paris 16e Arrondissement, 75116, France"
Paris,PARIS 15 / BIR-HAKEIM - APPARTEMENT FAMILIAL 6 PIÈCES AVEC LOGGIAS & VUE TOUR EIFFEL + PARKING,1396917,156.68,6,Appartement,Paris 15e Arrondissement,75015,"Paris 15e Arrondissement, 75015, France"
Paris,Maison de charme au cœur de Paris V – Val-de-Grâce,1444000,139.65,5,Maison,Paris 5e Arrondissement,75005,"Paris 5e Arrondissement, 75005, France"
Paris,"Paris 9ème – Rue des Martyrs / Place Lino Ventura.
Au 2ème étage avec ascenseur d’un immeuble du XVIIIème siècle de bon standing aux parties communes élégantes, bel appartement familial de 5...",1550000,139.37,5,Appartement,Paris 9e Arrondissement,75009,"Paris 9e Arrondissement, 75009, France"
Paris,Dernier étage noble avec large balcon filant et vues dégagées sur les monuments de Paris.,3495145,241.59,8,Appartement,Paris 7e Arrondissement,75007,"Paris 7e Arrondissement, 75007, France"
Paris,Buttes Chaumont - 4 pièces 68m² à rénover entièrement,477512,67.68,4,Appartement,Paris 19e Arrondissement,75019,"Paris 19e Arrondissement, 75019, France"
Paris,"LOURMEL - PARC ANDRE CITROEN
Avenue Félix Faure, dans une résidence bien entretenue des années 1970, se trouve cet appartement au 5ème étage avec ascenseur traversant sur cour et sur rue, avec...",1089320,120.0,4,Appartement,Paris 15e Arrondissement,75015,"Paris 15e Arrondissement, 75015, France"
Paris,"Appartement 3 pièces de 53,88m2 - Rue du Champ de Mars",690000,53.88,3,Appartement,Paris 7e Arrondissement,75007,"Paris 7e Arrondissement, 75007, France"
