Ville_Recherche,Ville_Reelle,Type,Prix,Surface_m2,Prix_m2,Pieces,Latitude,Longitude
Paris,Paris 7e Arrondissement,Maison,790000,54.7,14442.41,3,48.8564911,2.3128
Paris,Paris 18e Arrondissement,Appartement,480000,65.17,7365.35,2,48.8900117,2.3464668
Paris,Paris 17e Arrondissement,Appartement,1937023,190.77,10153.71,6,48.8869265,2.3065472
Paris,Paris 17e Arrondissement,Appartement,2250000,203.03,11082.11,7,48.8869265,2.3065472
Paris,Paris 8e Arrondissement,Appartement,930000,72.12,12895.17,4,48.8737284,2.3103932
Paris,Paris 7e Arrondissement,Appartement,1087379,89.06,12209.51,3,48.8564911,2.3128
Paris,Paris 17e Arrondissement,Appartement,734400,82.15,8939.74,3,48.8869265,2.3065472
Paris,Paris 18e Arrondissement,Appartement,285000,30.81,9250.24,2,48.8900117,2.3464668
Paris,Paris 16e Arrondissement,Appartement,247620,26.41,9375.99,1,48.8636341,2.276485
Paris,Paris 15e Arrondissement,Appartement,1396917,156.68,8915.73,6,48.8411228,2.2927657
Paris,Paris 5e Arrondissement,Maison,1444000,139.65,10340.14,5,48.8459728,2.3443504
Paris,Paris 9e Arrondissement,Appartement,1550000,139.37,11121.48,5,48.876019,2.339962
Paris,Paris 7e Arrondissement,Appartement,3495145,241.59,14467.26,8,48.8564911,2.3128
Paris,Paris 19e Arrondissement,Appartement,477512,67.68,7055.44,4,48.889343,2.38436
Paris,Paris 15e Arrondissement,Appartement,1089320,120.0,9077.67,4,48.8411228,2.2927657
Paris,Paris 7e Arrondissement,Appartement,690000,53.88,12806.24,3,48.8564911,2.3128
Paris,Paris 17e Arrondissement,Appartement,109600,13.3,8240.6,1,48.8869265,2.3065472
Paris,Paris 15e Arrondissement,Appartement,950000,91.68,10362.13,4,48.8411228,2.2927657
Paris,Paris 1er Arrondissement,Appartement,253400,16.0,15837.5,1,48.8646144,2.334396
Paris,Paris 16e Arrondissement,Appartement,600000,54.0,11111.11,2,48.8636341,2.276485
Paris,Paris 9e Arrondissement,Appartement,1061500,100.0,10615.0,4,48.876019,2.339962
Paris,Paris 9e Arrondissement,Appartement,930344,78.04,11921.37,4,48.876019,2.339962
Paris,Paris 14e Arrondissement,Appartement,250000,34.29,7290.76,1,48.8295585,2.323974
Paris,Paris 11e Arrondissement,Appartement,658397,58.41,11271.99,2,48.858416,2.379703
Paris,Paris 18e Arrondissement,Appartement,825000,75.04,10994.14,3,48.8900117,2.3464668
Paris,Paris 18e Arrondissement,Appartement,580000,68.72,8440.05,3,48.8900117,2.3464668
Paris,Paris 18e Arrondissement,Appartement,157000,23.55,6666.67,2,48.8900117,2.3464668
Paris,Paris 11e Arrondissement,Appartement,553940,54.75,10117.63,3,48.858416,2.379703
Paris,Paris 18e Arrondissement,Autre,30000,14.0,2142.86,0,48.8900117,2.3464668
Paris,Paris 3e Arrondissement,Appartement,333500,30.0,11116.67,2,48.864212,2.360936
Paris,Paris 14e Arrondissement,Appartement,229000,32.51,7043.99,2,48.8295585,2.323974
Paris,Paris 17e Arrondissement,Appartement,1135000,110.09,10309.75,4,48.8869265,2.3065472
Paris,Paris 20e Arrondissement,Appartement,220000,49.7,4426.56,2,48.865042,2.398929
Paris,Paris 16e Arrondissement,Appartement,1148350,90.0,12759.44,3,48.8636341,2.276485
Paris,Paris 1er Arrondissement,Appartement,692185,23.78,29107.86,1,48.8646144,2.334396
Paris,Paris 9e Arrondissement,Appartement,1901050,142.0,13387.68,6,48.876019,2.339962
Paris,Paris 9e Arrondissement,Appartement,175000,19.0,9210.53,0,48.876019,2.339962
Paris,Paris 16e Arrondissement,Appartement,250718,18.14,13821.28,1,48.8636341,2.276485
Paris,Paris 19e Arrondissement,Appartement,453244,87.19,5198.35,4,48.889343,2.38436
Paris,Paris 5e Arrondissement,Appartement,400000,32.56,12285.01,2,48.8459728,2.3443504
Paris,Paris 13e Arrondissement,Appartement,432000,42.0,10285.71,2,48.8290105,2.3636124
Paris,Paris 12e Arrondissement,Appartement,440000,52.0,8461.54,2,48.8396154,2.3957517
Paris,Paris 4e Arrondissement,Appartement,1050000,72.02,14579.28,0,48.8562021,2.3556193
Paris,Paris 18e Arrondissement,Appartement,838554,81.32,10311.78,4,48.8900117,2.3464668
Paris,Paris 14e Arrondissement,Appartement,995000,87.59,11359.74,3,48.8295585,2.323974
Paris,Paris 14e Arrondissement,Appartement,654000,79.54,8222.28,4,48.8295585,2.323974
Paris,Paris 7e Arrondissement,Appartement,300000,22.7,13215.86,1,48.8564911,2.3128
Paris,Paris 16e Arrondissement,Appartement,360000,28.0,12857.14,1,48.8636341,2.276485
Paris,Paris 16e Arrondissement,Appartement,710000,70.0,10142.86,2,48.8636341,2.276485
Paris,Paris 13e Arrondissement,Appartement,600000,61.68,9727.63,3,48.8290105,2.3636124
Paris,Paris 15e Arrondissement,Appartement,669000,71.08,9411.93,3,48.8411228,2.2927657
Paris,Paris 15e Arrondissement,Maison,1650000,139.6,11819.48,6,48.8411228,2.2927657
Paris,Paris 16e Arrondissement,Appartement,1900000,119.74,15867.71,6,48.8636341,2.276485
Paris,Paris 20e Arrondissement,Appartement,350000,49.42,7082.15,2,48.865042,2.398929
Paris,Paris 16e Arrondissement,Appartement,1200000,114.29,10499.61,4,48.8636341,2.276485
Paris,Paris 18e Arrondissement,Appartement,584000,86.0,6790.7,4,48.8900117,2.3464668
Paris,Paris 14e Arrondissement,Appartement,1151800,120.16,9585.55,4,48.8295585,2.323974
Paris,Paris 15e Arrondissement,Appartement,424620,49.84,8519.66,2,48.8411228,2.2927657
Paris,Paris 3e Arrondissement,Appartement,1104000,110.0,10036.36,5,48.864212,2.360936
Paris,Paris 14e Arrondissement,Appartement,995000,87.59,11359.74,3,48.8295585,2.323974
Paris,Paris 15e Arrondissement,Appartement,608695,52.05,11694.43,3,48.8411228,2.2927657
Paris,Paris 4e Arrondissement,Appartement,255000,11.5,22173.91,1,48.8562021,2.3556193
Paris,Paris 16e Arrondissement,Appartement,1120000,81.0,13827.16,5,48.8636341,2.276485
Paris,Paris 6e Arrondissement,Appartement,1140000,69.0,16521.74,3,48.8504333,2.3329507
Paris,Paris 9e Arrondissement,Appartement,422115,40.73,10363.74,2,48.876019,2.339962
Paris,Paris 8e Arrondissement,Appartement,560000,23.74,23588.88,1,48.8737284,2.3103932
Paris,Paris 4e Arrondissement,Appartement,603000,47.38,12726.89,2,48.8562021,2.3556193
Paris,Paris 3e Arrondissement,Appartement,390000,30.17,12926.75,1,48.864212,2.360936
Paris,Paris 16e Arrondissement,Appartement,933575,97.1,9614.57,4,48.8636341,2.276485
Paris,Paris 16e Arrondissement,Appartement,2208969,188.44,11722.4,5,48.8636341,2.276485
Paris,Paris 15e Arrondissement,Appartement,810000,75.01,10798.56,3,48.8411228,2.2927657
Paris,Paris 15e Arrondissement,Appartement,120000,14.0,8571.43,1,48.8411228,2.2927657
Paris,Paris 5e Arrondissement,Appartement,465000,38.81,11981.45,1,48.8459728,2.3443504
Paris,Paris 6e Arrondissement,Appartement,1690000,118.1,14309.91,5,48.8504333,2.3329507
Paris,Paris 8e Arrondissement,Appartement,1250000,100.89,12389.73,4,48.8737284,2.3103932
Paris,Paris 12e Arrondissement,Appartement,1010000,105.28,9593.47,5,48.8396154,2.3957517
Paris,Paris 4e Arrondissement,Appartement,2290000,140.24,16329.15,5,48.8562021,2.3556193
Paris,Paris 18e Arrondissement,Appartement,438931,40.17,10926.84,2,48.8900117,2.3464668
Paris,Paris 16e Arrondissement,Appartement,670825,76.4,8780.43,4,48.8636341,2.276485
Paris,Paris 15e Arrondissement,Appartement,669000,67.7,9881.83,4,48.8411228,2.2927657
Marseille,Berre-l'Étang,Maison,399000,107.0,3728.97,5,43.4758249,5.1673492
Marseille,Marseille 9e Arrondissement,Appartement,196560,70.33,2794.82,4,43.2340735,5.4498978
Marseille,Aureille,Maison,1260000,285.0,4421.05,10,43.7071613,4.9477104
Marseille,Marseille 10e Arrondissement,Maison,233000,51.6,4515.5,2,43.2768378,5.4258206
