Ville_Recherche,Ville_Reelle,Type,Prix,Surface_m2,Prix_m2,Pieces,Latitude,Longitude
Montpellier,Pomérols,Maison,287000,120.0,2391.67,4,43.390895,3.4992161
Nice,Saint-Martin-du-Var,Maison,700000,163.15,4290.53,5,43.82197,7.1918
Rennes,Gévezé,Maison,340000,120.0,2833.33,5,48.2204891,-1.7896366
Montpellier,Montpellier,Maison,305286,112.1,2723.34,4,43.6112422,3.8767337
Lille,Flers-en-Escrebieux,Maison,189000,159.0,1188.68,5,50.3978149,3.0614209
Paris,Paris 15e Arrondissement,Appartement,424620,49.84,8519.66,2,48.8411228,2.2927657
Rennes,Rennes,Maison,350000,102.0,3431.37,4,48.1030752,-1.6726296
Toulouse,Saint-Gaudens,Maison,155500,126.0,1234.13,5,43.1077682,0.7247218
Rennes,Boisgervilly,Maison,240000,118.0,2033.9,6,48.1670889,-2.0651766
Rennes,Betton,Maison,540000,140.0,3857.14,6,48.1817122,-1.6414898
Paris,Paris 3e Arrondissement,Appartement,1104000,110.0,10036.36,5,48.864212,2.360936
Rennes,Cesson-Sévigné,Maison,172500,175.0,985.71,2,48.1197799,-1.6038829
Rouen,Saint-Eustache-la-Forêt,Maison,140000,102.0,1372.55,5,49.5524805,0.4512736
Marseille,Berre-l'Étang,Maison,399000,107.0,3728.97,5,43.4758249,5.1673492
Toulouse,Bruguières,Maison,395000,149.0,2651.01,8,43.7277106,1.411126
Toulouse,Pin-Balma,Maison,850000,338.0,2514.79,7,43.6283162,1.5337335
Nice,Cannes,Maison,802000,200.0,4010.0,6,43.5515198,7.0134418
Nice,Roquebrune-Cap-Martin,Appartement,445000,47.0,9468.09,2,43.7641047,7.4565697
Marseille,Coudoux,Maison,660000,198.0,3333.33,7,43.5584577,5.2501215
Rennes,Saint-Méen-le-Grand,Maison,170000,90.0,1888.89,5,48.1894709,-2.1911338
Lyon,Curis-au-Mont-d'Or,Maison,512000,172.0,2976.74,5,45.8713863,4.823971
Toulouse,Vieille-Toulouse,Maison,569999,145.0,3931.03,5,43.5271458,1.4455249
Rouen,Havre,Maison,400000,127.9,3127.44,5,49.4989079,0.1112116
Marseille,Marseille 4e Arrondissement,Appartement,150000,59.11,2537.64,3,43.3069826,5.4011304
Lyon,Lyon 3e Arrondissement,Appartement,240000,61.78,3884.75,4,45.7555548,4.8622856
Marseille,Marseille 12e Arrondissement,Appartement,160000,54.84,2917.58,3,43.3084569,5.4393452
Rennes,Rennes,Maison,400000,145.0,2758.62,6,48.1030752,-1.6726296
Rouen,Saint-Aubin-lès-Elbeuf,Maison,100000,80.0,1250.0,3,49.3027,1.0197
Toulouse,Saint-Gaudens,Maison,138000,104.56,1319.82,6,43.1077682,0.7247218
Montpellier,Saint-Jean-de-Cornies,Maison,257767,159.63,1614.78,5,43.7444,4.00172
Rennes,Rennes,Maison,450000,111.0,4054.05,6,48.1030752,-1.6726296
Marseille,Marseille 3e Arrondissement,Appartement,148600,62.88,2363.23,3,43.3113852,5.3789412
Nice,Grasse,Appartement,230000,79.71,2885.46,3,43.6538584,6.9264185
Montpellier,Paulhan,Maison,150000,132.0,1136.36,5,43.5418008,3.4604451
Marseille,Fontvieille,Maison,399000,140.0,2850.0,5,43.7264844,4.707674
Nice,Menton,Appartement,430000,70.0,6142.86,3,43.7753495,7.5029213
